"HOUSEHOLD DATA
ANNUAL AVERAGES
9.  Employed persons by occupation, sex, and age",,,,,,,,,,
[In thousands],,,,,,,,,,
,,,,,,,,,,
Occupation,Total,,Men,,,,Women,,,
,"16 years
and over",,"16 years
and over",,"20 years
and over",,"16 years
and over",,"20 years
and over",
,2023,2024,2023,2024,2023,2024,2023,2024,2023,2024
,,,,,,,,,,
Total,"161,037","161,346","85,500","85,313","82,698","82,514","75,537","76,033","72,692","73,170"
,,,,,,,,,,
"Management, professional, and related occupations","70,275","70,744","33,856","33,716","33,663","33,505","36,419","37,028","36,123","36,680"
"Management, business, and financial operations occupations","30,544","30,602","16,574","16,613","16,518","16,546","13,971","13,989","13,914","13,922"
Management occupations,"20,906","20,657","12,139","12,017","12,104","11,979","8,767","8,640","8,729","8,587"
Business and financial operations occupations,"9,638","9,945","4,435","4,596","4,414","4,567","5,204","5,349","5,185","5,335"
Professional and related occupations,"39,731","40,142","17,282","17,103","17,145","16,959","22,449","23,039","22,209","22,758"
Computer and mathematical occupations,"6,502","6,386","4,754","4,700","4,729","4,686","1,748","1,686","1,738","1,673"
Architecture and engineering occupations,"3,602","3,552","3,001","2,940","2,987","2,926",602,613,597,609
"Life, physical, and social science occupations","1,870","1,877",939,925,934,917,932,952,927,943
Community and social service occupations,"2,879","2,950",874,896,863,886,"2,004","2,054","1,990","2,037"
Legal occupations,"1,897","1,832",910,840,909,839,988,992,986,988
"Education, training, and library occupations","9,403","9,587","2,560","2,551","2,528","2,515","6,842","7,036","6,732","6,925"
"Arts, design, entertainment, sports, and media occupations","3,478","3,483","1,808","1,713","1,769","1,670","1,670","1,770","1,615","1,698"
Healthcare practitioners and technical occupations,"10,099","10,475","2,437","2,539","2,426","2,519","7,663","7,936","7,625","7,885"
,,,,,,,,,,
Service occupations,"26,171","26,452","11,206","11,246","10,134","10,214","14,965","15,206","13,640","13,921"
Healthcare support occupations,"5,123","5,456",806,841,783,822,"4,317","4,615","4,204","4,484"
Protective service occupations,"3,105","3,110","2,357","2,327","2,306","2,240",748,783,697,716
Food preparation and serving related occupations,"8,189","8,061","3,775","3,685","3,021","3,012","4,414","4,376","3,515","3,550"
Building and grounds cleaning and maintenance occupations,"5,534","5,770","3,206","3,422","3,063","3,255","2,328","2,347","2,269","2,288"
Personal care and service occupations,"4,220","4,055","1,062",971,961,885,"3,158","3,084","2,955","2,883"
,,,,,,,,,,
Sales and office occupations,"30,279","29,885","11,942","11,825","11,355","11,210","18,337","18,061","17,386","17,094"
Sales and related occupations,"14,325","14,090","7,352","7,337","6,955","6,896","6,972","6,754","6,334","6,098"
Office and administrative support occupations,"15,954","15,795","4,590","4,488","4,400","4,314","11,364","11,307","11,051","10,995"
,,,,,,,,,,
"Natural resources, construction, and maintenance occupations","14,326","14,391","13,492","13,530","13,111","13,138",834,861,785,813
"Farming, fishing, and forestry occupations",987,970,720,701,658,647,267,269,242,241
Construction and extraction occupations,"8,457","8,520","8,093","8,150","7,881","7,935",364,370,350,358
"Installation, maintenance, and repair occupations","4,881","4,901","4,679","4,680","4,571","4,557",203,222,193,214
,,,,,,,,,,
"Production, transportation, and material moving occupations","19,986","19,873","15,004","14,996","14,435","14,448","4,982","4,877","4,758","4,663"
Production occupations,"8,280","7,944","5,800","5,653","5,675","5,518","2,479","2,291","2,405","2,228"
Transportation and material moving occupations,"11,706","11,930","9,203","9,344","8,760","8,930","2,503","2,586","2,353","2,434"
,,,,,,,,,,
NOTE: Updated population controls are introduced annually with the release of January data.,,,,,,,,,,
