YEARS,Number (thousands),Total,"Under $15,000","$15,000 
to
 $24,999","$25,000 
to
 $34,999","$35,000 
to
 $49,999","$50,000 
to
 $74,999","$75,000 
to
 $99,999","$100,000 
to
 $149,999","$150,000 
to
 $199,999","$200,000 and over",Median Income (dollars) Estimate,Margin of error2 (±),Mean Income (dollars) Estimate,Margin of error2 (±)
2024,"134,800",100,7.1,6.4,6.8,9.9,15.1,12,16.7,10.1,16,"83,730","1,050","121,000","1,211"
2023,"132,200",100,7.3,6.6,6.8,9.9,15.6,12,17,9.7,15,"82,690",651,"117,500","1,126"
2022,"131,400",100,7.8,6.9,7.4,10,15.9,12,17.1,9.4,13.6,"79,500","1,031","113,400","1,102"
2021,"131,200",100,7.8,7.2,7.1,9.9,15.2,11.8,16.5,9.5,15.1,"81,270",695,"117,500","1,182"
2020,"129,200",100,7.4,7.2,6.8,10.2,15.1,12.1,16.7,9.5,14.9,"81,580","1,056","116,900","1,259"
2019,"128,500",100,7.1,6.7,6.6,10.2,15.3,12.1,17,9.7,15.2,"83,260","1,096","118,900","1,263"
2018,"128,600",100,8,7.3,7,10.8,15.5,12.6,16.6,9.1,13,"77,700",850,"110,700","1,104"
2017,"127,700",100,7.8,7.4,7.8,10.7,15.2,12.3,16.5,9.1,13.1,"76,710",664,"110,000","1,177"
2016,"126,200",100,8.1,7.5,7.9,10.8,15.6,12.4,16.6,9,12.2,"75,380",916,"106,200",985
2015,"125,800",100,8.3,8.1,8.4,11.1,15.4,12.1,16.6,9,11.1,"72,790",680,"102,100",854
2014,"124,600",100,9.1,8.5,8.7,11.3,15.9,12.2,15.7,8.5,10.3,"69,060",830,"97,480",944
2013,"123,000",100,8.9,9,8.4,11.7,16.2,12.7,15.8,8.1,9.2,"67,800",593,"94,820","1,072"
2012,"122,500",100,8.9,8.9,9,11.7,16.2,12.7,15.7,8,9,"67,400",454,"94,170",915
2011,"121,100",100,9,8.7,8.7,12.3,16.3,12.2,15.8,7.7,9.2,"67,410",556,"93,840",815
2010,"119,900",100,9,8.9,8.7,11.6,16.1,12.5,16,8.2,9.1,"68,420",742,"93,580",822
2009,"117,500",100,8.1,8.2,8.6,12.2,16.5,12.7,16.3,8.2,9.3,"70,070",493,"95,680",563
2008,"117,200",100,8,8.3,8.4,12.1,16.3,12.5,16.8,8.3,9.3,"70,520",316,"95,930",558
2007,"116,800",100,7.8,8.5,7.9,11.1,16.6,12.5,17.2,8.8,9.8,"73,010",335,"98,260",564
2006,"116,000",100,7.9,7.9,7.9,11.8,16.9,12.5,16.7,8.6,9.8,"71,850",508,"99,230",630
2005,"114,400",100,8,8.6,8,11.7,16.1,13.3,16.4,8.6,9.3,"71,060",391,"97,160",603
2004,"113,300",100,8.1,8.7,8.3,11.8,16.2,13.1,16.7,8.3,9,"69,970",509,"95,430",592
2003,"112,000",100,8.1,8.7,8.1,11.6,16.4,12.6,16.8,8.6,9,"70,080",500,"95,560",575
2002,"111,300",100,8.1,8.6,8.1,11.8,16.4,12.9,17.1,8.5,8.6,"70,040",378,"95,540",590
2001,"109,300",100,7.6,8.2,8.4,11.2,17,12.9,17.3,8.5,8.9,"70,610",355,"97,330",638
2000,"108,200",100,7.4,8.2,8,11.4,16.8,13.2,17.6,8.3,9.1,"71,790",371,"97,690",633
1999,"106,400",100,7.4,8.2,8,11.8,16.7,13,17.5,8.5,8.8,"71,980",553,"96,820",826
1998,"103,900",100,8.1,8.3,8.1,11.7,16.9,13.5,17.3,8.1,8,"70,200",683,"93,620",832
1997,"102,500",100,8.4,8.7,8.6,11.9,17,13.4,16.9,7.7,7.4,"67,720",515,"90,940",837
1996,"101,000",100,8.5,9.2,8.7,12.1,17.2,13.4,17,7,6.8,"66,340",550,"88,080",812
1995,"99,630",100,8.5,9.3,8.9,12.2,17.5,13.9,16.3,7.1,6.3,"65,380",622,"86,220",776
1994,"98,990",100,9.2,9.6,8.9,12.7,17.4,13.2,16.2,6.6,6.2,"63,370",475,"84,710",750
1993,"97,110",100,9.6,9.7,8.8,12.3,18.1,12.9,16.1,6.7,5.8,"62,700",482,"83,140",740
1992,"96,430",100,9.6,9.6,9,12.1,18.1,13.6,16.4,6.4,5.3,"63,010",491,"79,880",551
1991,"95,670",100,9.3,9.1,8.9,12.3,18.4,14,16.2,6.5,5.3,"63,530",503,"79,970",541
1990,"94,310",100,9,8.9,8.6,12.2,18.4,14.3,16.4,6.7,5.5,"65,440",550,"81,740",568
1989,"93,350",100,8.6,8.8,8.6,12,18.1,14.2,16.8,7,5.8,"66,240",599,"83,690",599
1988,"92,830",100,9.3,8.9,8.5,12.2,18,14.3,16.8,6.6,5.4,"65,130",523,"81,380",598
1987,"91,120",100,9.5,9.1,8.6,12.2,17.9,14.3,16.8,6.5,5.1,"64,650",502,"80,400",543
1986,"89,480",100,9.7,9.1,8.7,12.4,18.1,14.5,16.7,6.1,4.8,"63,850",544,"78,890",527
1985,"88,460",100,9.7,9.6,9.1,12.8,18.7,14.5,16,5.7,4.1,"61,570",549,"75,770",493
1984,"86,790",100,9.6,9.9,9,13.2,18.9,14.2,15.8,5.5,3.9,"60,420",452,"74,030",448
1983,"85,410",100,10.2,9.7,9.7,13.2,19.4,14.3,15,5,3.5,"58,650",439,"71,340",439
1982,"83,920",100,10.2,10.1,9.1,13.5,19.7,14.4,14.8,4.8,3.3,"59,020",438,"71,130",433
1981,"83,530",100,9.9,10.2,9.6,13.5,19,15.1,14.9,5.1,2.8,"59,190",510,"70,710",424
1980,"82,370",100,9.6,10,9.3,12.8,19.7,15.1,15.6,4.9,3,"60,210",509,"71,610",431
1979,"80,780",100,9.3,9.6,8.9,13.1,18.7,15.9,16,5.2,3.3,"62,140",484,"73,810",460
1978,"77,330",100,9.2,9.8,9.1,13,19.2,15.5,16.2,4.8,3.3,"62,260",415,"73,270",462
1977,"76,030",100,9.5,10.3,9.1,13.1,19.6,15.7,15.4,4.5,2.8,"59,920",370,"71,080",356
1976,"74,140",100,9.6,10,9.3,13.3,19.8,16.1,15.1,4.2,2.6,"59,630",363,"70,150",356
1975,"72,870",100,9.7,10.5,9.3,13.6,20.5,15.8,14.4,3.8,2.4,"58,630",392,"68,460",351
1974,"71,160",100,9.2,9.8,9.1,12.9,21.2,15.8,15.1,4.3,2.6,"60,270",381,"70,480",363
1973,"69,860",100,9.4,9.8,8.5,12.3,20.7,16,15.7,4.6,2.9,"62,150",389,"71,870",360
1972,"68,250",100,10.2,9.3,9,12.6,20.8,16.4,14.8,4.3,2.7,"60,830",382,"70,800",361
1971,"66,680",100,11.1,9.2,9.1,13.3,22.1,16,13.4,3.8,2.1,"58,530",373,"67,320",352
1970,"64,780",100,11.2,8.9,8.7,13.1,22.9,15.7,13.9,3.6,2.2,"59,040",356,"67,600",356
1969,"63,400",100,11.2,8.5,8.3,13.5,23,16.4,13.6,3.4,2.1,"59,470",362,"67,660",350
1968,"62,210",100,11.4,8.9,8.7,14,24.5,15.7,12.2,2.9,1.7,"57,220",340,"64,730",340
1967,"60,810",100,12.3,9.7,8.7,15.1,23.3,15.7,10.6,2.8,1.8,"54,880",329,"61,380",329
